ability|способность
above|выше
abroad|за границу
accelerate|ускорять
acceptable|приемлемый
accideent|происшествие
accompany|сопровождать
acquire|приобретать
advance|продвижение
advantage|преимущество
adventure|adventure
afternoon|после полудня
against|против
agreement|соглашение
ahead|вперед
aid|помощь
alarm|сигнал тревоги
allocate|выделить
allocation|распределение
allow|позволять
along with|наряду с
along|вдоль
alphabet|алфавит
also|также
although|несмотря на то что
altogether|совсем
ambulance|скорая помощь
amount|количество
amusing|забавный
announce|анонсировать
another|ещё один, другой
antique|античный
anywhere|где угодно
apologize|принести извинения
appalled|потрясены
appear|появиться
append|присоединять
application programming interface|программный интерфейс приложения
approach|подход
approachable|доступный
appropriate|целесообразно
approximately|примерно
area|зона
argues|утверждать
arrive|прибыть
artificial intelligence|искусственный интеллект
assertion|утверждение
assignment|назначение
associate | ассоциировать
associate|ассоциировать
assume|предполагать
assumption|предположение
attach|прикреплять
attempt|попытка
attention|внимание
attitude|отношение
available|доступный
avenue|проспект
average|средний
avoid|избежать
avoidance|уклонение
away|далеко
awkward|неловко
backpack|рюкзак
backup|резервная копия
bag|сумка
bathroom|ванная
become|стать
bed sheet|простыня
behave|вести себя
behavior|поведение
bell|колокол
benefits|выгоды
bit|немного
bleeding|кровотечение
blossom|цвести
blower|вентилятор
bookmark|закладка
boost|увеличение
border|граница
boundedness|ограниченность
bowl|миска
branch|филиал
brief|краткое
bug|дефект
built-in|встроенный
by considering |с учетом
cache|кэш
caller|гость
cancel|отменять
capability|возможность
capacity|ёмкость
capital|столица
capture|захватить
care about|заботиться
carefully|внимательно
carry on|продолжать
case|случай
cast|отбрасывать
cause|причина
certainly|безусловно
chain|цепь
character|характер
charge|заряд
chart|диаграмма
chash|авария
cheap|дешево
check it out|зацени
cheer up|веселее
claim|запрос
clearly|явно
clever|умная
climate|климат
clumsy|топорный
coast|берег
come|приехать
commit|совершать
common|общий
compare|сравнить
compete|конкурировать
competition|соревнование
compiler|компилятор
completely|полностью
complexity|сложность
compose|составить
comprehensible|понятный
comprehensive|комплексный
condemn|осуждать
confuse|спутать
consider|рассматривать
considerable|значительный
constant|постоянная
constraint|ограничение
consumer|потребитель
content|содержимое
contribute|делать вклад
convention|соглашение
convergence|сходимость
conversation|разговор
conversely|наоборот
correct|верно
corresponding|соответствующий
cortex|кора головного мозга
cost|стоимость
count|подсчитывать
couple|пара
crop|урожай
cruise|круиз
cup|чашка
current|текущий
currently|в данный момент
curriculum|учебный план
customization|настройка
danger|опасность
dash|тире, мчаться
dashboard|приборная панель
deal|сделка
debunk|разоблачать
decide|принимать решение
decreases|уменьшается
deduce|выводить
deem|считать
deep down|в глубине души
define|определять
definition|определение
degree|степень
deliberate|преднамеренный
deliver|доставить
demand|спрос
denote|обозначать
department|отдел
departure|вылет из
derivative|производное
derive|выводить
descent|спуск
desire|желание
detailed survey|подробный опрос
direct|непосредственный
disappear|исчезать
discard|отбрасывать
discount|скидка
dismiss|отклонить
distract|отвлекать
district|район
divide|делить
domain|область
doubt|сомнениe
dozen|дюжина
dry|сухой
efficient|эффективное
effort|усилие
either|или, любой
elsewhere|в другом месте
embed|встраивать
emphasis|акцент
employee|наемный рабочий
enable|включить
encloses|окружать
enforce|обеспечивать соблюдение
enough|достаточно
ensure|обеспечивать
entrance|вход
envy|зависть
equation|уравнение
equipment|оборудование
especially|особенно
establish|установить
even|даже
evidence|доказательства
evidently|очевидно
exactly|в точку
except|кроме
execute|выполнять
exercise|упражнение
exist|существовать
existence|существование
expect|ожидать
expense|расходы
experience|опыт
explanation|объяснения
explicit|явный
explore|исследовать
expression|выражение
extra|дополнительно
extremely|чрезвычайно
failure|отказ
faith|вера
familiar|знакомо
far easier|гораздо проще
far|далеко
fault|придираться
favor|благоприятствовать
feasible|выполнимый
few|мало
field|поле
fill|заполнять
fit|поместиться
flash drive|флэш-диск
