above|выше
accelerated|ускоренный
acceptable|приемлемый
acquired|приобретенный
advanced|продвинутый
advantage|преимущество
ahead|впереди
allocate|назначать
allocation|распределение
along with|вместе с
altogether|совсем
amount|количество
amusing|забавный
antique|античный
apologize|принести извинения
appalled|потрясло
approachable|доступный
appropriate|подходящее
argues|утверждать
assertions|утверждения
assignment|назначение
associated|связанный
assume|предполагать
assumption|предположение
attach|прикреплять
attracted|привлекли
avoid|избежать
avoidance|отказ
awkward|неловко
barging|продвижение
become|стать
behave|вести себя
being|существование
bleeding|кровотечение
boost|увеличение
briefly|кратко
built-in|встроенный
caller|гость
care about|заботиться
carefully|внимательно
cast|отбрасывать
caused|вызванный
certainly|безусловно
chains|цепочки
cheap|дешево
claims|требования
clearly|явно
clever|умная
clumsy|топорный
common|общий
compete|конкурировать
compiler|компилятор
completely|полностью
complexity|сложность
complicated|сложно
compose|составить
comprehensible|понятный
condemn|осуждать
confuse|спутать
consider|рассматривать
considerable|значительный
constant|постоянная
constrained|ограничен
constraint|ограничение
consumer|потребитель
contributed|способствовали
convention|соглашение
conversely|наоборот
cost|стоимость
could|мог
cruising|путешествие
current|текущий
curriculum|учебный план
dash|мчаться
deal|дело
debunk|разоблачать
decreases|уменьшается
deduced|счислимый
deem|считать
definition|определение
degree|степень
deliberate|преднамеренный
deliver|обеспечивать
demanding|требовательный
denote|обозначать
derived|полученный
designed|предназначенный
directly|непосредственно
disappears|исчезает
discard|отбрасывать
dismiss|отклонить
distract|отвлекать
dozen|дюжина
efficiency|эффективность
effort|усилие
either|или, любой
elsewhere|в другом месте
embedded|встроенный
enables|позволяет
encloses|включает
encountered|сталкиваться
ensure|обеспечивать
especially|особенно
even|даже
evidence|доказательства
exactly|в точку
explanation|объяснения
explicit|явный
explore|исследовать
expression|выражение
extremely|чрезвычайно
facilities|оборудование
facilities|средства
familiar|знакомо
far easier|гораздо проще
favor|одолжение
few|мало
fit|поместиться
flat-out|плоский
flexible|гибкий
framework|структура
frequently|часто
further|дальше
furthermore|более того
generalize|обобщаем
