fan|вентилятор|[fæn]
air conditioning|кондиционер|[eə(r)] [kənˈdɪʃ.ən]
apartment house|многоквартирный дом|[əˈpɑːtmənt] [haʊs]
arbor|беседка|[ˈɑː.bər]
armchair|кресло|[ˈɑːm.tʃeər]
ashtray|пепельница|[ˈæʃ.treɪ]
attic|чердак|[ˈæt.ɪk]
balcony|балкон|[ˈbæl.kə.ni]
barn, shed|сарай; амбар|[bɑːn] [ʃed]
barrack|барак|[ˈbær.ək]
bathroom|ванная комната|[ˈbɑːθruːm]
bathtub, tub|ванна|[ˈbɑːθ.tʌb] [tʌb]
bed|кровать|[bed]
bedclothes|постельное белье|[ˈbed.kləʊðz]
bedroom|спальня|[ˈbedruːm]
bedspread, coverlet|покрывало|[ˈbed.spred] [ˈkʌv.ə.lət]
blanket|одеяло|[ˈblæŋ.kɪt]
blanket cover|пододеяльник|[ˈblæŋ.kɪt] [ˈkʌvə(r)]
blinds|шторы|[blaɪnd]
building|здание|[ˈbɪldɪŋ]
bungalow|бунгало|[ˈbʌŋ.ɡəl.əʊ]
bunk bed|двухъярусная кровать|[bʌŋk] [bed]
campsite|кемпинг|[ˈkæmp.saɪt]
carpet|ковер|[ˈkɑːpɪt]
cellar|погреб; подвал|[ˈsel.ər]
chair|стул|[tʃeə(r)]
cloakroom|гардероб|[ˈkləʊk.rʊm]
storeroom|кладовая|[ˈstɔː.rʊm]
comforter|стеганое пуховое одеяло|[ˈkʌm.fə.tər]
cottage|коттедж; загородный дом|[ˈkɒtɪdʒ]
couch, sofa|диван|[kaʊtʃ] [ˈsəʊ.fə]
country house|деревенский дом|[ˈkʌntri] [haʊs]
cowshed|коровник|[ˈkaʊ.ʃed]
crib, cot|детская кроватка|[krɪb] [kɒt]
cup|чашка|[kʌp]
curtain|занавес|[ˈkɜːtn]
desk|письменный стол|[desk]
dining room|обеденный зал; столовая|[daɪn] [ruːm]
dormitory|общежитие|[ˈdɔː.mɪ.tər.i]
double bed|двуспальная кровать|[ˈdʌbl] [bed]
double room|номер на двоих|[ˈdʌbl] [ruːm]
drawing room, sitting room|гостиная|[ˈdrɔːɪŋ] [ruːm] ,[ˈsɪt.ɪŋ] [ruːm]
dwelling|жилище; дом|[ˈdwel.ɪŋ]
dwelling place|местожительство|[ˈdwel.ɪŋ] [pleɪs]
entrance hall|прихожая|[ˈentrəns] [hɔːl]
flat, apartment|квартира|[flæt] [əˈpɑːtmənt]
flight of stairs|лестничный пролет|[flaɪt] [əv] [steər]
floor, storey|этаж|[flɔː(r)] [ˈstɔː.ri]
flower bed|клумба|[ˈflaʊə(r)] [bed]
flower garden|цветник|[ˈflaʊə(r)] [ˈɡɑːdn]
fork|вилка|[fɔːk]
freezer|морозильник; морозильная камера|[ˈfriː.zər]
front of the house|фасад дома|[frʌnt] [əv] [ðə] [haʊs]
furniture|мебель|[ˈfɜːnɪtʃə(r)]
garage|гараж|[ˈɡærɑːʒ]
garbage can|мусорное ведро|[ˈɡɑːbɪdʒ] [kæn]
garden|сад|[ˈɡɑːdn]
garden plot|садовый участок|[ˈɡɑːdn] [plɒt]
guesthouse|домик для гостей|[ˈɡest.haʊs]
hall|зал; холл|[hɔːl]
hayloft|сеновал|[ˈheɪlɔft]
heating|отопление|[ˈhiː.tɪŋ]
hedge|живая изгородь, плетень|[hedʒ]
home|дом|[həʊm]
hotel|гостиница, отель|[həʊˈtel]
hovel|лачуга|[ˈhɒv.əl]
hut|хижина|[hʌt]
inn|маленькая гостиница|[ɪn]
jacuzzi, hot tub|джакузи|[dʒəˈkuː.zi] [hɒt] [tʌb]
kennel|собачья будка|[ˈken.əl]
key|ключ|[kiː]
kitchen|кухня|[ˈkɪtʃɪn]
restroom, toilet|туалет, уборная|[ˈrɛstrʊm] [ˈtɔɪlət]
lawn|лужайка; газон|[lɔːn]
library|библиотека|[ˈlaɪbrəri]
lift, elevator|лифт|[lɪft] [ˈelɪveɪtə(r)]
light bulb|лампочка|[laɪt] [bʌlb]
living room|общая комната|[ˈlɪvɪŋ] [ruːm]
lodge|охотничий домик|[lɒdʒ]
loft, garret|чердак|[lɒft] [ˈɡær.ɪt]
mansion|особняк|[ˈmæn.ʃən]
mattress|матрас|[ˈmæt.rəs]
motel|мотель|[məʊˈtel]
mug|кружка|[mʌɡ]
multi-storey building|многоэтажное здание|[ˌmʌl.tiˈstɔː.ri] [ˈbɪldɪŋ]
no vacancies|нет свободных мест|[nəʊ] [ˈveɪ.kən.si]
playroom|игровая комната|[ˈpleɪ.rʊm]
orchard|фруктовый сад|[ˈɔː.tʃəd]
oven|духовой шкаф; духовка|[ˈʌvn]
pan|сковородка; кастрюля|[pæn]
pantry|кладовая|[ˈpæn.tri]
parapet|перила; парапет|[ˈpær.ə.pet]
pigsty|свинарник; хлев|[ˈpɪɡ.staɪ]
pillow|подушка|[ˈpɪl.əʊ]
pillow case|наволочка|[ˈpɪl.əʊ] [keɪs]
plate|тарелка|[pleɪt]
pond|пруд|[pɒnd]
private residence|особняк|[ˈpraɪvət] [ˈrez.ɪ.dəns]
quilt|стеганое покрывало|[kwɪlt]
reception|стойка регистрации|[rɪˈsepʃn]
refrigerator, fridge|холодильник|[rɪˈfrɪdʒəreɪtə(r)] [frɪdʒ]
resort|курорт|[rɪˈzɔːt]
roof|крыша; кровля|[ruːf]
room service|обслуживание номеров|[ruːm] [ˈsɜːvɪs]
safe|сейф|[seɪf]
shampoo|шампунь|[ʃæmˈpuː]
sheet|простыня|[ʃiːt]
shower, bathtub|душ; ванная|[ˈʃaʊə(r)] [ˈbɑːθ.tʌb]
single room|номер на одного|[ˈsɪŋɡl] [ruːm]
sink|раковина|[sɪŋk]
soap|мыло|[səʊp]
spoon|ложка|[spuːn]
stable|конюшня|[ˈsteɪbl]
staircase , stairs|лестница|[ˈsteə.keɪs] [steər]
stool|табурет|[stuːl]
stove|печка; печь|[stəʊv]
study|рабочий кабинет|[ˈstʌdi]
suite|номер-люкс|[swiːt]
swimming pool|плавательный бассейн|[ˈswɪmɪŋ] [puːl]
table|стол|[ˈteɪbl]
tablecloth|скатерть|[ˈteɪ.bl̩.klɒθ]
tap, faucet|водопроводный кран|[tæp] [ˈfɔːsɪt]
toilet tissue|туалетная бумага|[ˈtɔɪlət] [ˈtɪʃ.uː]
towel|полотенце|[taʊəl]
vacancies|есть свободные места|[ˈveɪ.kən.si]
water bed|кровать на водяном матрасе|[ˈwɔːtə(r)] [bed]
water supply|водоснабжение|[ˈwɔːtə(r)] [səˈplaɪ]
yard|двор|[jɑːd]
floor|пол, этаж|[flɔː(r)]
wall|стена|[wɔːl]
