of course|"конечно!"
remember|(за)помнить; вспомнить
apricot|абрикос
August|август
bus|автобус
car|автомобиль
lawyer|адвокат; юрист
address|адрес
battery|аккумулятор
actor|актер
pineapple|ананас
England|Англия
form|анкета; форма
orange|апельсин; оранжевый
April|апрель
pharmacy|аптека
watermelon|арбуз
airport|аэропорт
luggage|багаж
trunk|багажник
eggplant|баклажан
balcony|балкон
banana|банан
bank|банк
poor|бедный; плохой
run, ran|бежать
without|без
squirrel|белка
white|белый
gas(oline)|бензин
disturb|беспокоить; мешать
worry|беспокойство
useless|бесполезный
mess|беспорядок
businessman|бизнесмен
ticket|билет
thank|благодарить
notebook|блокнот
blouse|блузка
saucer|блюдце
beans|бобы
rich|богатый
more|более; еще (больше)
sickness|болезнь
pain|боль
hospital|больница
sick|больной
most|большинство
large|крупный; просторный
big|большой
beard|борода
fight, fought|борьба; драка
boss|босс
boot|ботинок; сапог
brother|брат
take, took, taken|брать
shave|брить
eyebrow|бровь
trousers|брюки; штаны
wake, woke, woken|будить
bun|булочка
paper|бумага
wallet|бумажник
sandwich|бутерброд
bottle|бутылка
accountant|бухгалтер
fast|быстро
quick|быстрый; скорый
appreciate|быть признательным
be, was, been|быть; являться
bra|бюстгальтер
in|в; где
per|в; за
important|важный
vase|ваза
bathroom|ванная
mitten|варежка
jam|варенье
cook|варить; готовить
up|вверх
bucket|ведро
polite|вежливый
century|век; столетие
Great Britain|Великобритания
bicycle|велосипед
rope|веревка
believe|верить
probably|вероятно
merry|веселый; радостный
fun|веселье
spring|весна
lead, led|вести
wind|ветер
ham|ветчина
evening|вечер
party|вечеринка
thing|вещь
see, saw, seen|видеть
fork|вилка
wine|вино
grape|виноград
cherry|вишня
tasty|вкусный
influence|влияние; воздействие
together|вместе
down|вниз
careful|внимательный; осторожный
during|во время
water|вода
driver|водитель
faucet|водопроводный кран
return|возврат
air|воздух
balloon|воздушный шар
near|возле; близко
perhaps|возможно; может быть
opportunity|возможность
around|вокруг
wolf|волк
hair|волосы
stink, stank, stunk|вонять; вонь
question|вопрос
eighteen|восемнадцать
eight|восемь
eighty|восемьдесят
Sunday|воскресенье
forward|вперед; передний
doctor|врач
