of course|"конечно!"|[əv] [kɔːs]
remember|(за)помнить; вспомнить|[rɪˈmembə(r)]
apricot|абрикос|[ˈeɪ.prɪ.kɒt]
August|август|[ˈɔːɡəst]
bus|автобус|[bʌs]
car|автомобиль|[kɑː(r)]
lawyer|адвокат; юрист|[ˈlɔːjə(r)]
address|адрес|[əˈdres]
battery|аккумулятор|[ˈbætri]
actor|актер|[ˈæktə(r)]
pineapple|ананас|[ˈpaɪnˌæp.l̩]
England|Англия|[ˈɪŋglənd]
form|анкета; форма|[fɔːm]
orange|апельсин; оранжевый|[ˈɒrɪndʒ]
April|апрель|[ˈeɪprəl]
pharmacy|аптека|[ˈfɑː.mə.si]
watermelon|арбуз|[ˈwɔː.təˌmel.ən]
airport|аэропорт|[ˈeəpɔːt]
luggage|багаж|[ˈlʌɡɪdʒ]
trunk|багажник|[trʌŋk]
eggplant|баклажан|[ˈeɡ.plɑːnt]
balcony|балкон|[ˈbæl.kə.ni]
banana|банан|[bəˈnɑː.nə]
bank|банк|[bæŋk]
poor|бедный; плохой|[pɔː(r)]
run|бежать|[rʌn]
without|без|[wɪˈðaʊt]
squirrel|белка|[ˈskwɪr.əl]
white|белый|[waɪt]
gas, gasoline|бензин|[ɡæs] [ˈɡæsəliːn]
disturb|беспокоить; мешать|[dɪˈstɜːb]
worry|беспокойство|[ˈwʌri]
useless|бесполезный|[ˈjuːsləs]
mess|беспорядок|[mes]
businessman|бизнесмен|[ˈbɪznəsmæn]
ticket|билет|[ˈtɪkɪt]
thank|благодарить|[θæŋk]
notebook|блокнот|[ˈnəʊt.bʊk]
blouse|блузка|[blaʊz]
saucer|блюдце|[ˈsɔː.sər]
beans|бобы|[biːn]
rich|богатый|[rɪtʃ]
more|более; еще (больше)|[mɔː(r)]
sickness|болезнь|[ˈsɪk.nəs]
pain|боль|[peɪn]
hospital|больница|[ˈhɒspɪtl]
sick|больной|[sɪk]
most|большинство|[məʊst]
large|крупный; просторный|[lɑːdʒ]
big|большой|[bɪɡ]
beard|борода|[bɪəd]
fight, fought|борьба; драка|[faɪt]
boss|босс|[bɒs]
boot|ботинок; сапог|[buːt]
brother|брат|[ˈbrʌðə(r)]
take|брать|[teɪk]
shave|брить|[ʃeɪv]
eyebrow|бровь|[ˈaɪ.braʊ]
trousers|брюки; штаны|[ˈtraʊzəz]
wake|будить|[weɪk]
bun|булочка|[bʌn]
paper|бумага|[ˈpeɪpə(r)]
wallet|бумажник|[ˈwɒlɪt]
sandwich|бутерброд|[ˈsæn.wɪdʒ]
bottle|бутылка|[ˈbɒtl]
accountant|бухгалтер|[əˈkaʊn.tənt]
fast|быстро|[fɑːst]
quick|быстрый; скорый|[kwɪk]
appreciate|быть признательным|[əˈpriːʃieɪt]
be|быть; являться|[bi]
bra|бюстгальтер|[brɑː]
in|в; где|[ɪn]
per|в; за|[pə(r)]
important|важный|[ɪmˈpɔːtnt]
vase|ваза|[vɑːz]
bathroom|ванная|[ˈbɑːθruːm]
mitten|варежка|[ˈmɪt.ən]
jam|варенье|[dʒæm]
cook|варить; готовить|[kʊk]
up|вверх|[ʌp]
bucket|ведро|[ˈbʌk.ɪt]
polite|вежливый|[pəˈlaɪt]
century|век; столетие|[ˈsentʃəri]
Great Britain|Великобритания|[ɡreɪt] [ˈbrɪt.ən]
bicycle|велосипед|[ˈbaɪsɪkl]
rope|веревка|[rəʊp]
believe|верить|[bɪˈliːv]
probably|вероятно|[ˈprɒbəbli]
merry|веселый; радостный|[ˈmer.i]
fun|веселье|[fʌn]
spring|весна|[sprɪŋ]
lead|вести|[liːd]
wind|ветер|[wɪnd]
ham|ветчина|[hæm]
evening|вечер|[ˈiːvnɪŋ]
party|вечеринка|[ˈpɑːti]
thing|вещь|[θɪŋ]
see|видеть|[siː]
fork|вилка|[fɔːk]
wine|вино|[waɪn]
grape|виноград|[ɡreɪp]
cherry|вишня|[ˈtʃer.i]
tasty|вкусный|[ˈteɪ.sti]
influence|влияние; воздействие|[ˈɪnfluəns]
together|вместе|[təˈɡeðə(r)]
down|вниз|[daʊn]
