accept|принимать|[əkˈsept]
access|доступ|[ˈækses]
account|учётная запись|[əˈkaʊnt]
advertisement|объявление|[ədˈvɜːtɪsmənt]
agile methodology|гибкая методология|[ˈædʒ.aɪl] [ˌmeθ.əˈdɒl.ə.dʒi]
air cooling|воздушное охлаждение|[eə(r)] [ˈkuː.lɪŋ]
algorithm|алгоритм|[ˈæl.ɡə.rɪ.ðəm]
application software|программное обеспечение|[ˌæplɪˈkeɪʃn] [ˈsɒftweə(r)]
architecture|архитектура|[ˈɑː.kɪ.tek.tʃər]
argument|аргумент|[ˈɑːɡjumənt]
array|массив|[əˈreɪ]
aspect-oriented programming (AOP)|аспектно-ориентированное программирование|[ˈæspekt] [ˈɔːrɪentɪd] [ˈprəʊ.ɡræm.ɪŋ]
attachment|вложение|[əˈtætʃ.mənt]
attribute|атрибут|[ˈæt.rɪ.bjuːt]
authentication|аутентификация|[ɔːˈθen.tɪ.keɪt]
authorization|авторизация|[ˌɔː.θər.aɪˈzeɪ.ʃən]
available|доступный|[əˈveɪləbl]
avatar|аватар|[ˈæv.ə.tɑːr]
background|фон|[ˈbækɡraʊnd]
backup|резервная копия|[ˈbæk.ʌp]
ban|блокировать доступ|[bæn]
bandwidth|пропускная способность|[ˈbænd.wɪtθ]
banner|баннер|[ˈbæn.ər]
binary data|двоичные данные|[ˈbaɪ.nər.i] [ˈdeɪtə]
blog|блог|[blɒɡ]
bookmark|закладка|[ˈbʊk.mɑːk]
bridge|мост|[brɪdʒ]
broadband|широкополосный|[ˈbrɔːd.bænd]
browser|браузер|[ˈbraʊ.zər]
bug|дефект|[bʌɡ]
bundle|комплект|[ˈbʌn.dl̩]
bus|шина|[bʌs]
button|кнопка|[ˈbʌtn]
byte|байт|[baɪt]
cable|кабель|[ˈkeɪbl]
cache|кэш|[kæʃ]
cancel|отменять|[ˈkænsl]
central processing unit (CPU)|центральный процессор|[ˈsentrəl] [ˈprəʊ.ses] [ˈjuːnɪt]
chapter|глава|[ˈtʃæptə(r)]
chat|чат|[tʃæt]
checkbox|флажок|[ˈtʃekbɒks]
class|класс|[klɑːs]
click|щелчок|[klɪk]
cloud computing|облачные вычисления|[klaʊd] [kəmˈpjuː.tɪŋ]
cloud storage|облачное хранилище данных|[klaʊd] [ˈstɔː.rɪdʒ]
cluster|кластер|[ˈklʌs.tər]
code|код|[kəʊd]
compatible|совместимый|[kəmˈpæt.ɪ.bl̩]
compile|компилировать|[kəmˈpaɪl]
compiler|компилятор|[kəmˈpaɪ.lər]
compress|сжимать|[kəmˈpres]
computer|компьютер|[kəmˈpjuːtə(r)]
computing|вычисление|[kəmˈpjuː.tɪŋ]
configuration|конфигурация|[kənˌfɪɡ.əˈreɪ.ʃən]
connect|соединять|[kəˈnekt]
connection|соединение|[kəˈnekʃn]
constructor|конструктор|[kənˈstrʌk.tər]
contact|связаться|[ˈkɒntækt]
content|содержание|[ˈkɒntent]
conversion|конверсия|[kənˈvɜː.ʃən]
copy|копировать|[ˈkɒpi]
copyright|авторское право|[ˈkɒp.i.raɪt]
count|считать|[kaʊnt]
crack|взломать|[kræk]
create|создавать|[kriˈeɪt]
current|текущий|[ˈkʌrənt]
cursor|курсор|[ˈkɜː.sər]
customer|клиент|[ˈkʌstəmə(r)]
customization|настройка|[kʌstəmaɪˈzeɪʃn]
cut|вырезать|[kʌt]
